year,date,dir,brk_time,entry_u,or_range,moneyness,strike,ent_prem,cpr_dist,cpr_dist_pct_or,mfe13,mfe13_min,mae13,close13,mfe15,mfe15_min,mae15,close15,t_tgt30,t_tgt50,t_tgt100,t_stop50,t_stop75,poststop_mfe13,reached_cpr,cpr_reach_min,prem_at_cpr
2025,2025-01-02,call,09:54,515.13,4.89,ATM,515,1.99,0.8,16,35.7,11,-98.5,-97.5,35.7,11,-100.0,-99.5,10,,,26,46,-46.7,1,5,18.1
2025,2025-01-02,call,09:54,515.13,4.89,OTM1,516,1.48,0.8,16,39.9,11,-98.6,-98.6,39.9,11,-100.0,-100.0,10,,,26,36,-52.7,1,5,19.6
2025,2025-01-03,put,10:20,512.93,3.56,ATM,513,1.85,1.76,49,14.1,0,-95.1,-94.6,14.1,0,-100.0,-99.5,,,,13,42,-40.0,0,,
2025,2025-01-03,put,10:20,512.93,3.56,OTM1,512,1.42,1.76,49,14.8,0,-100.0,-95.1,14.8,0,-100.0,-100.0,,,,13,42,-42.3,0,,
2025,2025-01-03,put,10:20,512.93,3.56,OTM2,511,1.12,1.76,49,12.5,0,-100.0,-95.5,12.5,0,-100.0,-100.0,,,,12,41,-48.2,0,,
2025,2025-01-03,put,10:20,512.93,3.56,OTM3,510,0.81,1.76,49,18.5,0,-100.0,-95.1,18.5,0,-100.0,-100.0,,,,12,41,-46.9,0,,
2025,2025-01-06,call,09:48,526.24,2.45,ATM,526,1.67,2.13,87,38.3,57,-74.3,-68.9,38.3,57,-100.0,-99.4,34,,,170,,-52.1,0,,
2025,2025-01-06,call,09:48,526.24,2.45,OTM1,527,1.17,2.13,87,36.8,40,-84.6,-81.2,36.8,40,-100.0,-99.1,34,,,146,172,-40.2,0,,
2025,2025-01-06,call,09:48,526.24,2.45,OTM2,528,0.75,2.13,87,36.0,39,-90.7,-88.0,36.0,39,-100.0,-100.0,34,,,119,159,-36.0,0,,
2025,2025-01-06,call,09:48,526.24,2.45,OTM3,529,0.48,2.13,87,22.9,39,-95.8,-91.7,22.9,39,-100.0,-97.9,,,,21,145,22.9,0,,
2025,2025-01-07,put,10:00,522.2,2.68,ATM,522,1.62,0.24,9,273.5,171,-100.0,196.3,438.3,335,-100.0,332.1,0,4,16,66,66,273.5,1,0,33.3
2025,2025-01-07,put,10:00,522.2,2.68,OTM1,521,1.2,0.24,9,325.0,171,-100.0,214.2,564.2,335,-100.0,392.5,0,1,8,116,116,325.0,1,0,38.3
2025,2025-01-07,put,10:00,522.2,2.68,OTM2,520,0.89,0.24,9,377.5,46,-100.0,214.6,646.1,335,-100.0,455.1,0,1,7,140,140,376.4,1,0,39.3
2025,2025-01-07,put,10:00,522.2,2.68,OTM3,519,0.65,0.24,9,438.5,46,-100.0,223.1,769.2,336,-100.0,484.6,0,1,7,140,140,415.4,1,0,47.7
2025,2025-01-08,call,10:02,515.96,2.27,ATM,516,2.03,0.88,39,6.9,0,-91.6,-81.3,6.9,0,-98.5,-95.1,,,,9,131,-11.8,1,265,-27.1
2025,2025-01-08,call,10:02,515.96,2.27,OTM1,517,1.53,0.88,39,7.8,0,-93.5,-86.3,7.8,0,-99.3,-98.7,,,,9,125,-19.0,1,265,-42.5
2025,2025-01-08,call,10:02,515.96,2.27,OTM2,518,1.14,0.88,39,5.3,0,-94.7,-89.5,5.3,0,-100.0,-99.1,,,,7,63,-30.7,1,265,-60.5
2025,2025-01-08,call,10:02,515.96,2.27,OTM3,519,0.78,0.88,39,10.3,0,-100.0,-92.3,10.3,0,-100.0,-98.7,,,,7,12,-39.7,1,265,-73.1
2025,2025-01-10,put,09:46,508.4,3.03,ATM,508,2.21,0.29,9,110.4,24,-100.0,-24.0,110.4,24,-100.0,-68.8,13,14,21,62,140,85.5,1,0,13.1
2025,2025-01-10,put,09:46,508.4,3.03,OTM1,507,1.8,0.29,9,125.0,24,-100.0,-35.6,125.0,24,-100.0,-90.6,1,14,21,60,149,83.3,1,0,13.3
2025,2025-01-10,put,09:46,508.4,3.03,OTM2,506,1.45,0.29,9,127.6,24,-61.4,-48.3,127.6,24,-98.6,-97.9,1,14,19,52,,80.0,1,0,13.8
