date,open,high,low,close
2023-01-03,23.090000,23.760000,22.730000,22.900000
2023-01-04,22.930000,23.270000,21.940000,22.010000
2023-01-05,22.200000,22.920000,21.970000,22.460000
2023-01-06,22.690000,22.900000,21.000000,21.130000
2023-01-09,21.750000,21.980000,21.270000,21.970000
2023-01-10,22.220000,22.460000,20.580000,20.580000
2023-01-11,20.800000,21.250000,20.620000,21.090000
2023-01-12,21.560000,21.800000,18.830000,18.830000
2023-01-13,19.000000,19.410000,18.010000,18.350000
2023-01-16,19.440000,19.630000,19.410000,19.490000
2023-01-17,19.890000,20.220000,19.210000,19.360000
2023-01-18,19.280000,20.580000,18.710000,20.340000
2023-01-19,20.430000,21.710000,20.170000,20.520000
2023-01-20,20.280000,20.700000,19.410000,19.850000
2023-01-23,20.210000,20.330000,19.550000,19.810000
2023-01-24,19.890000,20.470000,18.910000,19.200000
2023-01-25,19.560000,20.900000,18.990000,19.080000
2023-01-26,19.050000,19.480000,18.670000,18.730000
2023-01-27,18.900000,19.000000,17.970000,18.510000
2023-01-30,19.760000,20.250000,19.540000,19.940000
2023-01-31,20.120000,20.700000,19.130000,19.400000
2023-02-01,19.620000,20.040000,17.700000,17.870000
2023-02-02,17.740000,19.250000,17.060000,18.730000
2023-02-03,18.570000,19.300000,17.930000,18.330000
2023-02-06,19.230000,19.810000,19.210000,19.430000
2023-02-07,19.540000,19.990000,18.430000,18.660000
2023-02-08,18.880000,20.120000,18.550000,19.630000
2023-02-09,19.240000,21.080000,19.020000,20.710000
2023-02-10,20.740000,21.940000,20.440000,20.530000
2023-02-13,21.660000,21.690000,20.330000,20.340000
2023-02-14,20.720000,20.750000,18.480000,18.910000
2023-02-15,19.370000,19.410000,18.110000,18.230000
2023-02-16,18.260000,20.270000,18.230000,20.170000
2023-02-17,20.940000,21.300000,19.820000,20.020000
2023-02-20,21.060000,21.280000,20.960000,21.230000
2023-02-21,21.800000,23.340000,21.800000,22.870000
2023-02-22,23.030000,23.630000,22.020000,22.290000
2023-02-23,21.960000,22.430000,20.890000,21.140000
2023-02-24,21.350000,22.900000,21.320000,21.670000
2023-02-27,21.990000,22.020000,20.680000,20.950000
2023-02-28,21.300000,21.370000,20.100000,20.700000
2023-03-01,20.390000,21.320000,20.220000,20.580000
2023-03-02,21.410000,21.420000,19.550000,19.590000
2023-03-03,19.760000,19.760000,18.160000,18.490000
2023-03-06,19.050000,19.190000,18.490000,18.610000
2023-03-07,18.640000,19.740000,18.510000,19.590000
2023-03-08,19.710000,20.010000,19.000000,19.110000
2023-03-09,19.330000,23.140000,18.880000,22.610000
2023-03-10,23.340000,28.970000,21.790000,24.800000
2023-03-13,24.050000,30.810000,23.850000,26.520000
2023-03-14,26.850000,27.240000,22.270000,23.730000
2023-03-15,23.210000,29.910000,23.190000,26.140000
2023-03-16,26.190000,27.490000,22.970000,22.990000
2023-03-17,22.920000,26.140000,22.580000,25.510000
2023-03-20,27.770000,28.910000,24.000000,24.150000
2023-03-21,24.160000,24.160000,21.290000,21.380000
2023-03-22,21.800000,22.380000,19.940000,22.260000
2023-03-23,21.540000,24.910000,20.160000,22.610000
2023-03-24,22.110000,25.210000,21.600000,21.740000
2023-03-27,22.050000,22.930000,20.570000,20.600000
2023-03-28,20.530000,21.400000,19.910000,19.970000
2023-03-29,19.390000,19.450000,19.090000,19.120000
2023-03-30,19.120000,20.080000,18.850000,19.020000
2023-03-31,19.210000,19.430000,18.520000,18.700000
2023-04-03,19.790000,19.830000,18.540000,18.550000
2023-04-04,18.790000,20.030000,18.580000,19.000000
2023-04-05,19.420000,20.080000,19.000000,19.080000
2023-04-06,19.300000,19.880000,18.350000,18.400000
2023-04-10,19.390000,20.050000,18.930000,18.970000
2023-04-11,19.080000,19.280000,18.560000,19.100000
2023-04-12,19.380000,19.980000,18.250000,19.090000
2023-04-13,18.830000,19.060000,17.770000,17.800000
2023-04-14,17.940000,18.120000,17.070000,17.070000
2023-04-17,17.580000,17.790000,16.900000,16.950000
2023-04-18,16.940000,17.340000,16.580000,16.830000
2023-04-19,17.300000,17.720000,16.170000,16.460000
2023-04-20,16.850000,17.690000,16.330000,17.170000
2023-04-21,17.510000,17.710000,16.580000,16.770000
2023-04-24,18.220000,18.240000,16.740000,16.890000
2023-04-25,17.620000,19.860000,17.330000,18.760000
2023-04-26,18.660000,19.610000,17.870000,18.840000
2023-04-27,18.430000,18.430000,16.720000,17.030000
2023-04-28,17.210000,17.650000,15.720000,15.780000
2023-05-01,16.410000,16.620000,15.530000,16.080000
2023-05-02,16.270000,19.810000,16.260000,17.780000
2023-05-03,17.820000,18.830000,17.190000,18.340000
2023-05-04,19.170000,21.330000,18.670000,20.090000
2023-05-05,19.500000,19.630000,16.690000,17.190000
2023-05-08,17.730000,17.880000,16.830000,16.980000
2023-05-09,17.290000,17.860000,17.220000,17.710000
2023-05-10,17.580000,18.310000,16.360000,16.940000
2023-05-11,16.800000,18.190000,16.630000,16.930000
2023-05-12,16.830000,17.920000,16.380000,17.030000
2023-05-15,17.440000,18.160000,17.080000,17.120000
2023-05-16,17.540000,18.300000,17.260000,17.990000
2023-05-17,17.960000,18.260000,16.680000,16.870000
2023-05-18,16.920000,17.150000,16.050000,16.050000
2023-05-19,16.130000,17.360000,15.850000,16.810000
2023-05-22,17.450000,18.130000,16.820000,17.210000
2023-05-23,17.350000,19.310000,17.300000,18.530000
2023-05-24,18.800000,20.810000,18.800000,20.030000
2023-05-25,19.540000,19.950000,18.700000,19.140000
2023-05-26,19.070000,19.560000,17.270000,17.950000
2023-05-29,17.530000,17.600000,17.340000,17.460000
2023-05-30,17.560000,18.340000,16.980000,17.460000
2023-05-31,18.040000,18.400000,17.120000,17.940000
2023-06-01,17.240000,17.590000,15.580000,15.650000
2023-06-02,15.650000,15.650000,14.420000,14.600000
2023-06-05,15.280000,15.290000,14.660000,14.730000
2023-06-06,14.910000,14.970000,13.950000,13.960000
2023-06-07,14.140000,14.290000,13.770000,13.940000
2023-06-08,14.140000,14.210000,13.530000,13.650000
2023-06-09,13.780000,14.140000,13.500000,13.830000
2023-06-12,14.440000,15.020000,14.320000,15.010000
2023-06-13,14.990000,15.060000,14.470000,14.610000
2023-06-14,14.480000,14.730000,13.830000,13.880000
2023-06-15,14.090000,14.520000,13.790000,14.500000
2023-06-16,14.490000,14.540000,13.480000,13.540000
2023-06-19,14.090000,14.190000,14.010000,14.190000
2023-06-20,14.360000,14.670000,13.860000,13.880000
2023-06-21,13.880000,13.890000,13.100000,13.200000
2023-06-22,13.880000,13.980000,12.730000,12.910000
